Unnamed: 0,sq_mt_built,n_rooms,n_bathrooms,street_name,street_number,floor,is_floor_under,neighborhood_id,operation,buy_price,buy_price_by_area,house_type_id,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_accessible,has_green_zones,has_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east
7528,54.0,1,1.0,Calle Eduardo Benot,5,2,0,Neighborhood 73: Argüelles (4807.69 €/m2) - District 11: Moncloa,sale,315000,5833,HouseType 1: Pisos,0,0,1970.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
7529,80.0,3,1.0,Calle de San Gerardo,38,5,0,Neighborhood 77: Valdezarza (2951.77 €/m2) - District 11: Moncloa,sale,230000,2875,HouseType 1: Pisos,1,0,1970.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0
7530,500.0,5,5.0,Calle camarines,1,2,0,Neighborhood 72: Aravaca (3600.4 €/m2) - District 11: Moncloa,sale,1500000,3000,HouseType 2: Casa o chalet,0,0,1970.0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0.0,0,0,1,0
7531,93.0,2,2.0,Calle Valle de Mena,9,3,0,Neighborhood 77: Valdezarza (2951.77 €/m2) - District 11: Moncloa,sale,410000,4409,HouseType 1: Pisos,0,0,1970.0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0.0,0,0,0,1
7532,39.0,0,1.0,Brak,Brak,2,0,Neighborhood 73: Argüelles (4807.69 €/m2) - District 11: Moncloa,sale,339000,8692,,1,0,1970.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
7533,79.0,1,1.0,Brak,Brak,1,0,Neighborhood 73: Argüelles (4807.69 €/m2) - District 11: Moncloa,sale,550000,6962,HouseType 1: Pisos,0,0,1970.0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0
7534,63.0,2,1.0,Brak,Brak,2,0,Neighborhood 74: Casa de Campo (3630.68 €/m2) - District 11: Moncloa,sale,240000,3810,HouseType 1: Pisos,0,0,1950.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0
7535,136.0,2,3.0,Brak,Brak,0,1,Neighborhood 76: El Plantío (2569.96 €/m2) - District 11: Moncloa,sale,550000,4044,HouseType 1: Pisos,0,0,1970.0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0.0,0,0,0,0
7536,140.0,4,3.0,Calle Artesa de Segre,14 -16,3,0,Neighborhood 75: Ciudad Universitaria (3810.08 €/m2) - District 11: Moncloa,sale,520000,3714,HouseType 1: Pisos,1,0,1970.0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,0.0,0,0,0,0
7537,77.0,3,2.0,Avenida del Doctor Federico Rubio y Galí,67,1,0,Neighborhood 75: Ciudad Universitaria (3810.08 €/m2) - District 11: Moncloa,sale,310000,4026,HouseType 1: Pisos,0,0,1970.0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1
7538,144.0,3,3.0,Brak,Brak,1,0,Neighborhood 72: Aravaca (3600.4 €/m2) - District 11: Moncloa,sale,800000,5556,HouseType 1: Pisos,0,0,1970.0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0.0,0,0,0,0
7539,45.0,1,1.0,Riaza,Brak,2,1,Neighborhood 72: Aravaca (3600.4 €/m2) - District 11: Moncloa,sale,159000,3533,HouseType 1: Pisos,0,0,1970.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
7540,400.0,5,5.0,Paseo del Pintor Rosales,Brak,4,0,Neighborhood 73: Argüelles (4807.69 €/m2) - District 11: Moncloa,sale,2600000,6500,HouseType 1: Pisos,1,0,1970.0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0.0,0,0,0,0
7541,100.0,2,2.0,Brak,Brak,4,0,Neighborhood 73: Argüelles (4807.69 €/m2) - District 11: Moncloa,sale,795000,7950,HouseType 1: Pisos,0,0,1942.0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
7542,58.0,3,1.0,Calle Francisco de Diego,46,4,0,Neighborhood 75: Ciudad Universitaria (3810.08 €/m2) - District 11: Moncloa,sale,185000,3190,HouseType 1: Pisos,0,0,1970.0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0.0,0,0,0,0
7543,68.0,3,1.0,Brak,Brak,1,0,Neighborhood 72: Aravaca (3600.4 €/m2) - District 11: Moncloa,sale,239000,3515,HouseType 1: Pisos,0,0,1970.0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0.0,1,0,1,0
7544,65.0,2,1.0,Olivo,3,0,1,Neighborhood 72: Aravaca (3600.4 €/m2) - District 11: Moncloa,sale,186000,2862,HouseType 1: Pisos,0,0,1974.0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0.0,0,0,0,1
7545,100.0,9,9.0,Brak,Brak,2,0,Neighborhood 76: El Plantío (2569.96 €/m2) - District 11: Moncloa,sale,3000000,1250,HouseType 2: Casa o chalet,0,0,1970.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
7546,141.0,3,2.0,Calle de Ferraz,13,2,1,Neighborhood 73: Argüelles (4807.69 €/m2) - District 11: Moncloa,sale,522000,3702,HouseType 1: Pisos,0,0,1943.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
7547,55.0,2,1.0,Brak,Brak,1,0,Neighborhood 72: Aravaca (3600.4 €/m2) - District 11: Moncloa,sale,179900,3271,HouseType 1: Pisos,0,0,1970.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,1,0
7548,54.0,2,1.0,Brak,Brak,3,0,Neighborhood 75: Ciudad Universitaria (3810.08 €/m2) - District 11: Moncloa,sale,250000,4630,HouseType 1: Pisos,0,0,1970.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0
7549,750.0,6,3.0,Urb. LA FLORIDA,Brak,2,0,Neighborhood 76: El Plantío (2569.96 €/m2) - District 11: Moncloa,sale,950000,1267,HouseType 2: Casa o chalet,1,0,1970.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0
7550,850.0,6,9.0,Brak,Brak,2,0,Neighborhood 75: Ciudad Universitaria (3810.08 €/m2) - District 11: Moncloa,sale,4400000,5176,HouseType 2: Casa o chalet,0,0,1970.0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0.0,1,1,1,1
7551,63.0,1,1.0,Calle de Quintana,22,4,0,Neighborhood 73: Argüelles (4807.69 €/m2) - District 11: Moncloa,sale,325000,5159,HouseType 1: Pisos,1,0,1970.0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0.0,0,0,0,0
7552,88.0,3,1.0,Calle de Valderrodrigo,18,1,0,Neighborhood 77: Valdezarza (2951.77 €/m2) - District 11: Moncloa,sale,278000,3159,HouseType 1: Pisos,0,0,1970.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
7553,156.0,3,2.0,Brak,Brak,3,0,Neighborhood 75: Ciudad Universitaria (3810.08 €/m2) - District 11: Moncloa,sale,509000,3263,HouseType 1: Pisos,0,0,1970.0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0.0,0,0,0,0
7554,74.0,3,1.0,Brak,Brak,1,0,Neighborhood 77: Valdezarza (2951.77 €/m2) - District 11: Moncloa,sale,220000,2973,HouseType 1: Pisos,0,0,1970.0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0.0,0,0,0,1
7555,63.0,2,1.0,Calle Valdivieso,Brak,1,0,Neighborhood 72: Aravaca (3600.4 €/m2) - District 11: Moncloa,sale,198000,3143,HouseType 1: Pisos,0,0,1970.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
7556,100.0,9,9.0,Brak,Brak,2,0,Neighborhood 76: El Plantío (2569.96 €/m2) - District 11: Moncloa,sale,3000000,1250,HouseType 2: Casa o chalet,0,0,1970.0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0.0,0,0,0,0
7557,495.0,6,5.0,Brak,Brak,2,0,Neighborhood 72: Aravaca (3600.4 €/m2) - District 11: Moncloa,sale,1100000,2222,HouseType 2: Casa o chalet,0,0,1970.0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0.0,0,0,1,0
7558,151.0,8,3.0,Calle de Arriaza,3,4,0,Neighborhood 73: Argüelles (4807.69 €/m2) - District 11: Moncloa,sale,990000,6556,HouseType 1: Pisos,0,0,1970.0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0.0,0,0,0,0
7559,75.0,3,1.0,Calle de Sánchez Preciado,71,4,0,Neighborhood 77: Valdezarza (2951.77 €/m2) - District 11: Moncloa,sale,150000,2000,HouseType 1: Pisos,1,0,1970.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0,1,0,0
7560,42.0,1,1.0,Calle de Juan Álvarez Mendizábal,99,0,1,Neighborhood 73: Argüelles (4807.69 €/m2) - District 11: Moncloa,sale,220000,5238,HouseType 1: Pisos,0,0,1970.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0
7561,72.0,1,1.0,Calle Régulo,3,1,0,Neighborhood 72: Aravaca (3600.4 €/m2) - District 11: Moncloa,sale,250000,3472,HouseType 1: Pisos,0,0,1970.0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0.0,0,1,0,0
